dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,2.993088,8.809611,2.257517,3.686330,3.030587,0.052299,0.007384
0.005000,3.011595,8.809749,2.276024,3.701484,3.030847,0.051867,0.007471
0.005000,3.030177,8.809888,2.294607,3.716640,3.031111,0.052744,0.007559
0.005000,3.048836,8.810030,2.313266,3.731797,3.031382,0.054330,0.007648
0.005000,3.067570,8.810174,2.332001,3.746955,3.031642,0.052031,0.007737
0.005000,3.086380,8.810321,2.350812,3.762114,3.031908,0.053183,0.007827
0.005000,3.105266,8.810469,2.369698,3.777275,3.032183,0.054857,0.007918
0.005000,3.124227,8.810620,2.388660,3.792438,3.032448,0.053021,0.008010
0.005000,3.143265,8.810774,2.407698,3.807601,3.032716,0.053587,0.008103
0.005000,3.162378,8.810930,2.426812,3.822766,3.032995,0.055946,0.008197
0.005000,3.181567,8.811088,2.446002,3.837932,3.033260,0.052857,0.008291
0.005000,3.200832,8.811248,2.465267,3.853100,3.033536,0.055352,0.008386
0.005000,3.220172,8.811412,2.484608,3.868269,3.033812,0.055210,0.008482
0.005000,3.239589,8.811577,2.504026,3.883440,3.034083,0.054157,0.008579
0.005000,3.259081,8.811745,2.523519,3.898611,3.034368,0.056940,0.008677
0.005000,3.278649,8.811916,2.543088,3.913785,3.034637,0.053786,0.008776
0.005000,3.298293,8.812090,2.562732,3.928959,3.034924,0.057424,0.008875
0.005000,3.318013,8.812266,2.582453,3.944135,3.035197,0.054519,0.008975
0.005000,3.337809,8.812444,2.602250,3.959313,3.035484,0.057513,0.009077
0.005000,3.357681,8.812626,2.622122,3.974491,3.035760,0.055181,0.009179
0.005000,3.377628,8.812810,2.642070,3.989672,3.036050,0.057901,0.009282
0.005000,3.397652,8.812997,2.662095,4.004853,3.036327,0.055462,0.009386
0.005000,3.417751,8.813186,2.682195,4.020036,3.036620,0.058617,0.009491
0.005000,3.437926,8.813379,2.702371,4.035221,3.036899,0.055836,0.009596
0.005000,3.458177,8.813574,2.722623,4.050407,3.037191,0.058458,0.009703
0.005000,3.478504,8.813773,2.742951,4.065594,3.037477,0.057209,0.009810
0.005000,3.498907,8.813974,2.763355,4.080783,3.037767,0.057848,0.009919
0.005000,3.519377,8.814178,2.783825,4.094091,2.661586,-75.236105,0.010028
0.005000,3.539894,8.814385,2.804344,4.103635,1.908865,-150.544327,0.010138
0.005000,3.560433,8.814594,2.824884,4.108069,0.886683,-204.436275,0.010249
